Date : 2023-11-14 12:13:23
Directory : c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend
Total : 112 files,  42860 codes, 347 comments, 875 blanks, all 44082 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          2 |     31,272 |          0 |          2 |     31,274 |
| JavaScript |         95 |     10,587 |        297 |        734 |     11,618 |
| CSS        |          1 |        509 |         17 |         98 |        624 |
| XML        |         12 |        428 |         10 |          6 |        444 |
| Markdown   |          1 |         38 |          0 |         33 |         71 |
| HTML       |          1 |         26 |         23 |          2 |         51 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                               | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                  |        112 |     42,860 |        347 |        875 |     44,082 |
| . (Files)                                                                                                                                          |          5 |     31,325 |          1 |         40 |     31,366 |
| public                                                                                                                                             |          1 |         26 |         23 |          2 |         51 |
| src                                                                                                                                                |        106 |     11,509 |        323 |        833 |     12,665 |
| src (Files)                                                                                                                                        |          3 |        665 |         23 |        119 |        807 |
| src\app                                                                                                                                            |         34 |        744 |          3 |        170 |        917 |
| src\app (Files)                                                                                                                                    |          1 |         71 |          0 |          1 |         72 |
| src\app\features                                                                                                                                   |         33 |        673 |          3 |        169 |        845 |
| src\app\features (Files)                                                                                                                           |          7 |        194 |          0 |         31 |        225 |
| src\app\features\Store                                                                                                                             |         12 |        185 |          0 |         60 |        245 |
| src\app\features\Store (Files)                                                                                                                     |         11 |        170 |          0 |         55 |        225 |
| src\app\features\Store\Dashboard                                                                                                                   |          1 |         15 |          0 |          5 |         20 |
| src\app\features\User                                                                                                                              |         14 |        294 |          3 |         78 |        375 |
| src\assets                                                                                                                                         |         12 |        428 |         10 |          6 |        444 |
| src\assets\svg-loaders                                                                                                                             |         12 |        428 |         10 |          6 |        444 |
| src\components                                                                                                                                     |         57 |      9,672 |        287 |        538 |     10,497 |
| src\components (Files)                                                                                                                             |          1 |        168 |         17 |         17 |        202 |
| src\components\Homepage                                                                                                                            |          9 |      1,734 |         31 |         71 |      1,836 |
| src\components\Login                                                                                                                               |          2 |        168 |          6 |         18 |        192 |
| src\components\Navbar                                                                                                                              |          3 |        856 |         13 |         32 |        901 |
| src\components\Navbar (Files)                                                                                                                      |          2 |        666 |         13 |         21 |        700 |
| src\components\Navbar\Icons                                                                                                                        |          1 |        190 |          0 |         11 |        201 |
| src\components\Register                                                                                                                            |          2 |        218 |          8 |         17 |        243 |
| src\components\Search                                                                                                                              |          2 |        363 |          8 |         22 |        393 |
| src\components\User                                                                                                                                |         38 |      6,165 |        204 |        361 |      6,730 |
| src\components\User (Files)                                                                                                                        |          1 |        228 |         25 |         16 |        269 |
| src\components\User\Customer                                                                                                                       |          7 |      1,205 |         27 |         62 |      1,294 |
